Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Units_Imputed_Baseline,Is_Zero_Sales,Date_Missing_Flag,Revenue_Capped
2000,Kids,Training,SuperRep Go,8.0,0.0,4176.63,0.47,0.0,2024-03-09,Online,Bangalore,-770.45,False,True,False,0.0
2001,Women,Soccer,Tiempo Legend,8.0,3.0,4957.93,0.0,14873.79,2024-07-09,Retail,Hyderabad,-112.53,False,False,False,14873.79
2002,Women,Soccer,Premier III,8.0,4.0,0.0,0.0,0.0,,Retail,Mumbai,3337.34,False,False,True,0.0
2003,Kids,Lifestyle,Blazer Mid,10.0,0.0,9673.57,0.0,0.0,2024-04-10,Online,Pune,3376.85,False,True,False,0.0
2004,Kids,Running,React Infinity,12.0,0.0,4488.055,0.0,0.0,2024-09-12,Retail,Delhi,187.89,False,True,False,0.0
2005,Women,Training,Flex Trainer,8.0,1.0,7363.96,0.0,7363.96,,Retail,Delhi,1415.98,False,False,True,7363.96
2006,Men,Training,SuperRep Go,8.0,0.0,6819.78,0.0,0.0,2025-04-06,Online,Bangalore,1802.09,False,True,False,0.0
2007,Kids,Training,SuperRep Go,8.0,1.0,0.0,0.32,0.0,,Retail,Bangalore,2928.36,False,False,True,0.0
2009,Men,Soccer,Mercurial Superfly,8.0,4.0,0.0,0.0,0.0,,Online,Pune,3929.61,False,False,True,0.0
2010,Kids,Lifestyle,Waffle One,10.0,1.0,7949.83,0.0,7949.83,2025-01-16,Online,Pune,1965.56,False,False,False,7949.83
2013,Kids,Training,SuperRep Go,10.0,0.0,9671.05,0.0,0.0,2024-09-19,Online,Hyderabad,299.34,False,True,False,0.0
2014,Women,Running,React Infinity,11.0,0.0,4488.055,0.0,0.0,2025-04-12,Online,Bangalore,-1044.4,False,True,False,0.0
2015,Kids,Basketball,Air Jordan,12.0,0.0,3285.52,0.0,0.0,2025-05-31,Retail,Kolkata,1193.21,False,True,False,0.0
2016,Women,Basketball,Air Jordan,8.0,1.0,9871.75,0.3,6910.224999999999,,Retail,Hyderabad,2452.69,False,False,True,6910.224999999999
2017,Women,Basketball,Air Jordan,9.0,4.0,0.0,0.0,0.0,2025-03-17,Retail,Delhi,1946.24,False,False,False,0.0
2018,Men,Training,Metcon 7,12.0,0.0,3582.67,0.16999999999999993,0.0,,Online,Bangalore,-966.89,False,True,True,0.0
2019,Kids,Running,Air Zoom,6.0,0.0,3424.06,0.32,0.0,2025-01-17,Online,Hyderabad,1915.24,False,True,False,0.0
2022,Women,Soccer,Premier III,8.0,0.0,3492.89,0.0,0.0,2024-09-24,Online,Pune,3427.16,False,True,False,0.0
