Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,is_return,Order_Date_raw,Units_Sold_raw,MRP_raw,Discount_Applied_raw,Revenue_raw,Profit_raw,Units_Recovered_Flag,MRP_Recovered_Flag,MRP_Imputed_Flag,Units_Imputed_Baseline_Flag,Discount_Imputed_Flag,Size_Imputed_Flag,Revenue_Used_Calc_Flag,Units_Sold_Imputed_Flag,Revenue_calc,Revenue_final,Is_Zero_Sales,Date_Missing_Flag,Revenue_Outlier_Flag,Revenue_final_Capped,Revenue_Cap_Value,Profit_Outlier_Flag,Profit_Ratio_Flag,Profit_Capped
2000,Kids,Training,SuperRep Go,M,3,5280.57,0.47,0.0,2024-03-09,Online,Bangalore,-770.45,False,2024-03-09,,,0.47,0.0,-770.45,False,False,True,False,False,False,True,True,8396.1063,8396.1063,False,False,False,8396.1063,,False,False,-770.45
2001,Women,Soccer,Tiempo Legend,M,3,4957.93,0.24,0.0,2024-07-09,Retail,Hyderabad,-112.53,False,2024-07-09,3.0,4957.93,,0.0,-112.53,False,False,False,False,True,False,True,False,11304.0804,11304.0804,False,False,False,11304.0804,,False,False,-112.53
2002,Women,Soccer,Premier III,M,4,5773.245,0.4,0.0,,Retail,Mumbai,3337.34,False,,4.0,,,0.0,3337.34,False,False,True,False,True,False,True,False,13855.787999999999,13855.787999999999,False,True,False,13855.787999999999,,False,False,3337.34
2003,Kids,Lifestyle,Blazer Mid,L,3,9673.57,0.26,0.0,2024-10-04,Online,Pune,3376.85,False,04-10-2024,,9673.57,,0.0,3376.85,False,False,False,False,True,False,True,True,21475.325399999998,21475.325399999998,False,False,False,21475.325399999998,,False,False,3376.85
2004,Kids,Running,React Infinity,XL,3,6492.155000000001,0.49,0.0,2024-09-12,Retail,Delhi,187.89,False,2024/09/12,,,,0.0,187.89,False,False,True,False,True,False,True,True,9932.997150000003,9932.997150000003,False,False,False,9932.997150000003,,False,False,187.89
2005,Women,Training,Flex Trainer,M,1,7363.96,0.37,0.0,,Retail,Delhi,1415.98,False,,1.0,7363.96,,0.0,1415.98,False,False,False,False,True,False,True,False,4639.2948,4639.2948,False,True,False,4639.2948,,False,False,1415.98
2006,Men,Training,SuperRep Go,M,3,6819.78,0.32,0.0,2025-06-04,Online,Bangalore,1802.09,False,04-06-2025,,6819.78,,0.0,1802.09,False,False,False,False,True,False,True,True,13912.3512,13912.3512,False,False,False,13912.3512,,False,False,1802.09
2007,Kids,Training,SuperRep Go,M,1,5280.57,0.32,0.0,,Retail,Bangalore,2928.36,False,,1.0,,0.32,0.0,2928.36,False,False,True,False,False,False,True,False,3590.7875999999997,3590.7875999999997,False,True,False,3590.7875999999997,,False,False,2928.36
2008,Women,Soccer,Premier III,11,-1,5773.245,0.4,0.0,2024-10-11,Online,Hyderabad,-731.18,True,11-10-2024,-1.0,,,0.0,-731.18,False,False,True,False,True,False,True,False,-3463.9469999999997,-3463.9469999999997,False,False,False,-3463.9469999999997,,False,False,-731.18
2009,Men,Soccer,Mercurial Superfly,M,4,6569.65,0.425,0.0,,Online,Pune,3929.61,False,,4.0,,,0.0,3929.61,False,False,True,False,True,False,True,False,15110.194999999998,15110.194999999998,False,True,False,15110.194999999998,,False,False,3929.61
2010,Kids,Lifestyle,Waffle One,L,1,7949.83,0.24,0.0,2025-01-16,Online,Pune,1965.56,False,2025/01/16,1.0,7949.83,,0.0,1965.56,False,False,False,False,True,False,True,False,6041.8708,6041.8708,False,False,False,6041.8708,,False,False,1965.56
2011,Women,Training,Flex Trainer,L,-1,9586.08,0.37,0.0,,Retail,Hyderabad,1667.08,True,,-1.0,9586.08,,0.0,1667.08,False,False,False,False,True,False,True,False,-6039.2304,-6039.2304,False,True,False,-6039.2304,,False,False,1667.08
2018,Kids,Lifestyle,Blazer Mid,XL,-1,6383.24,0.86,0.0,2024-11-13,Online,Delhi,2109.48,True,13-11-2024,-1.0,,0.86,0.0,2109.48,False,False,True,False,False,True,True,False,-893.6536000000001,-893.6536000000001,False,False,False,-893.6536000000001,,False,True,2109.48
2013,Kids,Training,SuperRep Go,M,3,9671.05,0.32,0.0,2024-09-19,Online,Hyderabad,299.34,False,19-09-2024,,9671.05,,0.0,299.34,False,False,False,False,True,True,True,True,19728.941999999995,19728.941999999995,False,False,False,19728.941999999995,,False,False,299.34
2014,Women,Running,React Infinity,11,3,6492.155000000001,0.49,0.0,2025-04-12,Online,Bangalore,-1044.4,False,2025-04-12,,,,0.0,-1044.4,False,False,True,False,True,False,True,True,9932.997150000003,9932.997150000003,False,False,False,9932.997150000003,,False,False,-1044.4
2015,Kids,Basketball,Air Jordan,XL,2,3285.52,0.24,0.0,2025-05-31,Retail,Kolkata,1193.21,False,31-05-2025,,3285.52,,0.0,1193.21,False,False,False,False,True,True,True,True,4993.9904,4993.9904,False,False,False,4993.9904,,False,False,1193.21
2016,Women,Basketball,Air Jordan,M,1,9871.75,0.3,6910.22,,Retail,Hyderabad,2452.69,False,,1.0,9871.75,0.3,6910.22,2452.69,False,False,False,False,False,False,False,False,6910.224999999999,6910.22,False,True,False,6910.22,,False,False,2452.69
2017,Women,Basketball,Air Jordan,9,4,6235.71,0.24,0.0,2025-03-17,Retail,Delhi,1946.24,False,17-03-2025,4.0,,,0.0,1946.24,False,False,True,False,True,False,True,False,18956.5584,18956.5584,False,False,False,18956.5584,,False,False,1946.24
2018,Men,Training,Metcon 7,XL,0,5890.69,0.16999999999999993,0.0,,Online,Bangalore,-966.89,False,,0.0,,0.16999999999999993,0.0,-966.89,False,False,True,False,False,False,True,False,0.0,0.0,True,True,False,0.0,,False,False,-966.89
2019,Kids,Running,Air Zoom,6,0,3424.06,0.32,0.0,2025-01-17,Online,Hyderabad,1915.24,False,2025/01/17,0.0,3424.06,0.32,0.0,1915.24,False,False,False,False,False,False,True,False,0.0,0.0,True,False,False,0.0,,False,False,1915.24
2020,Kids,Soccer,Tiempo Legend,L,-1,6045.785,0.67,0.0,2025-03-28,Retail,Mumbai,439.96,True,28-03-2025,-1.0,,0.67,0.0,439.96,False,False,True,False,False,False,True,False,-1995.1090499999998,-1995.1090499999998,False,False,False,-1995.1090499999998,,False,False,439.96
2021,Men,Running,Free RN,L,-1,7086.7,0.66,-2409.48,2024-11-19,Retail,Hyderabad,-1120.49,True,2024/11/19,-1.0,7086.7,0.66,-2409.48,-1120.49,False,False,False,False,False,False,False,False,-2409.4779999999996,-2409.48,False,False,False,-2409.48,,False,False,-1120.49
2022,Women,Soccer,Premier III,M,2,5773.245,0.4,0.0,2024-09-24,Online,Pune,3427.16,False,2024/09/24,,,,0.0,3427.16,False,False,True,False,True,False,True,True,6927.893999999999,6927.893999999999,False,False,False,6927.893999999999,,False,False,3427.16
2023,Men,Lifestyle,Waffle One,M,2,5003.95,0.24,0.0,2025-01-10,Online,Mumbai,1498.37,False,10-01-2025,,5003.95,,0.0,1498.37,False,False,False,False,True,False,True,True,7606.004,7606.004,False,False,False,7606.004,,False,False,1498.37
2024,Kids,Training,SuperRep Go,XL,0,5280.57,0.5,0.0,2024-12-28,Retail,Bangalore,1842.35,False,28-12-2024,0.0,,0.5,0.0,1842.35,False,False,True,False,False,False,True,False,0.0,0.0,True,False,False,0.0,,False,False,1842.35
2025,Women,Basketball,Kyrie Flytrap,M,3,9820.5,0.46499999999999997,0.0,,Retail,Mumbai,1900.15,False,,3.0,9820.5,,0.0,1900.15,False,False,False,False,True,False,True,False,15761.9025,15761.9025,False,True,False,15761.9025,,False,False,1900.15
2026,Kids,Lifestyle,Blazer Mid,XL,1,6383.24,0.16,0.0,2024-08-10,Retail,Kolkata,2301.64,False,2024-08-10,1.0,,0.16,0.0,2301.64,False,False,True,False,False,False,True,False,5361.9216,5361.9216,False,False,False,5361.9216,,False,False,2301.64
2027,Men,Basketball,Zoom Freak,XL,3,6435.66,0.22,0.0,,Online,Pune,-138.74,False,,,,0.22,0.0,-138.74,False,False,True,False,False,False,True,True,15059.4444,15059.4444,False,True,False,15059.4444,,False,False,-138.74
2028,Men,Training,Flex Trainer,12,3,3270.23,0.37,0.0,,Retail,Delhi,-946.86,False,,,3270.23,,0.0,-946.86,False,False,False,False,True,False,True,True,6180.7347,6180.7347,False,True,False,6180.7347,,False,False,-946.86
2029,Men,Training,ZoomX Invincible,12,0,6897.68,0.385,0.0,2023-10-28,Online,Bangalore,-185.67,False,2023-10-28,0.0,,,0.0,-185.67,False,False,True,False,True,False,True,False,0.0,0.0,True,False,False,0.0,,False,False,-185.67
2030,Men,Soccer,Phantom GT,XL,2,6320.59,0.050000000000000044,0.0,2025-07-14,Retail,Hyderabad,-122.93,False,2025/07/14,,,0.050000000000000044,0.0,-122.93,False,False,True,False,False,False,True,True,12009.121,12009.121,False,False,False,12009.121,,False,False,-122.93
2031,Men,Soccer,Premier III,M,4,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.7,False,2024-05-09,4.0,3493.04,0.82,2514.99,350.7,False,False,False,False,False,True,False,False,2514.9888000000005,2514.99,False,False,False,2514.99,,False,False,350.7
2032,Women,Lifestyle,Blazer Mid,XL,1,6383.24,0.07000000000000006,0.0,2025-04-11,Retail,Mumbai,-555.16,False,11-04-2025,1.0,,0.07000000000000006,0.0,-555.16,False,False,True,False,False,False,True,False,5936.413199999999,5936.413199999999,False,False,False,5936.413199999999,,False,False,-555.16
2033,Men,Soccer,Mercurial Superfly,XL,-1,6569.65,0.425,0.0,,Retail,Kolkata,-1005.71,True,,-1.0,,,0.0,-1005.71,False,False,True,False,True,False,True,False,-3777.5487499999995,-3777.5487499999995,False,True,False,-3777.5487499999995,,False,False,-1005.71
2034,Men,Basketball,Air Jordan,6,2,6235.71,0.24,0.0,2025-04-30,Retail,Delhi,-267.37,False,30-04-2025,,6235.71,,0.0,-267.37,False,False,False,False,True,False,True,True,9478.2792,9478.2792,False,False,False,9478.2792,,False,False,-267.37
2035,Kids,Basketball,Zoom Freak,M,4,6435.66,0.38,0.0,2024-11-17,Online,Bangalore,2914.83,False,17-11-2024,4.0,,0.38,0.0,2914.83,False,False,True,False,False,True,True,False,15960.4368,15960.4368,False,False,False,15960.4368,,False,False,2914.83
2036,Men,Training,Metcon 7,M,3,5890.69,0.39,0.0,2025-02-15,Retail,Bangalore,-143.8,False,15-02-2025,3.0,,,0.0,-143.8,False,False,True,False,True,True,True,False,10779.9627,10779.9627,False,False,False,10779.9627,,False,False,-143.8
2037,Kids,Running,Pegasus Turbo,7,3,5653.14,0.010000000000000009,-169.59,,Retail,Pune,2776.96,False,,3.0,5653.14,0.010000000000000009,-169.59,2776.96,False,False,False,False,False,False,False,False,16789.825800000002,-169.59,False,True,False,-169.59,,False,True,2776.96
2038,Kids,Running,Free RN,L,0,6293.58,0.83,0.0,,Online,Delhi,1163.21,False,,0.0,,0.83,0.0,1163.21,False,False,True,False,False,True,True,False,0.0,0.0,True,True,False,0.0,,False,False,1163.21
2039,Women,Training,Flex Trainer,M,3,2767.7,0.63,0.0,2025-04-22,Retail,Hyderabad,-336.3,False,22-04-2025,,2767.7,0.63,0.0,-336.3,False,False,False,False,False,False,True,True,3072.1469999999995,3072.1469999999995,False,False,False,3072.1469999999995,,False,False,-336.3
2002,Women,Basketball,Zoom Freak,XL,3,5075.22,0.35,0.0,2025-03-07,Retail,Delhi,145.08,False,07-03-2025,3.0,5075.22,,0.0,145.08,False,False,False,False,True,False,True,False,9896.679,9896.679,False,False,False,9896.679,,False,False,145.08
2041,Kids,Soccer,Tiempo Legend,12,3,5553.88,0.24,0.0,2025-03-05,Online,Hyderabad,2371.66,False,2025/03/05,,5553.88,,0.0,2371.66,False,False,False,False,True,False,True,True,12662.8464,12662.8464,False,False,False,12662.8464,,False,False,2371.66
2042,Women,Basketball,Kyrie Flytrap,L,2,5066.14,0.46499999999999997,0.0,2025-04-19,Online,Hyderabad,-862.16,False,2025/04/19,,,,0.0,-862.16,False,False,True,False,True,False,True,True,5420.769800000001,5420.769800000001,False,False,False,5420.769800000001,,False,False,-862.16
2043,Men,Soccer,Premier III,XL,2,3492.89,0.77,0.0,2024-05-02,Retail,Delhi,3770.75,False,2024-05-02,,3492.89,0.77,0.0,3770.75,False,False,False,False,False,False,True,True,1606.7293999999997,1606.7293999999997,False,False,False,1606.7293999999997,,False,True,3770.75
2044,Kids,Training,SuperRep Go,M,3,5280.57,0.32,0.0,2023-09-06,Online,Delhi,2174.71,False,2023-09-06,,,,0.0,2174.71,False,False,True,False,True,True,True,True,10772.362799999999,10772.362799999999,False,False,False,10772.362799999999,,False,False,2174.71
2045,Kids,Lifestyle,Dunk Low,XL,4,6202.99,0.39,0.0,2025-04-06,Retail,Delhi,1833.94,False,2025-04-06,4.0,,,0.0,1833.94,False,False,True,False,True,False,True,False,15135.2956,15135.2956,False,False,False,15135.2956,,False,False,1833.94
2046,Kids,Running,Air Zoom,12,2,5550.99,0.040000000000000036,0.0,,Online,Kolkata,1284.33,False,,,,0.040000000000000036,0.0,1284.33,False,False,True,False,False,False,True,True,10657.9008,10657.9008,False,True,False,10657.9008,,False,False,1284.33
2047,Women,Training,SuperRep Go,10,1,8577.75,0.32,0.0,2024-06-13,Retail,Bangalore,2888.68,False,2024-06-13,1.0,8577.75,,0.0,2888.68,False,False,False,False,True,False,True,False,5832.87,5832.87,False,False,False,5832.87,,False,False,2888.68
2048,Women,Basketball,Air Jordan,XL,2,6235.71,0.24,0.0,2024-10-27,Online,Bangalore,2875.86,False,27-10-2024,,,,0.0,2875.86,False,False,True,False,True,False,True,True,9478.2792,9478.2792,False,False,False,9478.2792,,False,False,2875.86
2049,Kids,Soccer,Tiempo Legend,L,1,7767.2,0.24,0.0,,Retail,Pune,311.48,False,,1.0,7767.2,,0.0,311.48,False,False,False,False,True,False,True,False,5903.072,5903.072,False,True,False,5903.072,,False,False,311.48
2050,Men,Running,Air Zoom,L,1,5550.99,0.57,0.0,,Retail,Kolkata,682.12,False,,1.0,,0.57,0.0,682.12,False,False,True,False,False,False,True,False,2386.9257000000002,2386.9257000000002,False,True,False,2386.9257000000002,,False,False,682.12
