Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Revenue_Capped,Order_Date,Sales_Channel,Region,Profit,Profit_Capped,is_return,Is_Zero_Sales,Units_Sold_Imputed_Flag,Date_Missing_Flag,Revenue_Outlier_Flag,Profit_Outlier_Flag,Profit_Ratio_Flag
2000,Kids,Training,SuperRep Go,M,3,5280.57,0.47,8396.1063,8396.1063,2024-03-09,Online,Bangalore,-770.45,-770.45,False,False,True,False,False,False,False
2001,Women,Soccer,Tiempo Legend,M,3,4957.93,0.24,11304.0804,11304.0804,2024-07-09,Retail,Hyderabad,-112.53,-112.53,False,False,False,False,False,False,False
2002,Women,Soccer,Premier III,M,4,5773.245,0.4,13855.787999999999,13855.787999999999,,Retail,Mumbai,3337.34,3337.34,False,False,False,True,False,False,False
2003,Kids,Lifestyle,Blazer Mid,L,3,9673.57,0.26,21475.325399999998,21475.325399999998,2024-10-04,Online,Pune,3376.85,3376.85,False,False,True,False,False,False,False
2004,Kids,Running,React Infinity,XL,3,6492.155000000001,0.49,9932.997150000003,9932.997150000003,2024-09-12,Retail,Delhi,187.89,187.89,False,False,True,False,False,False,False
2005,Women,Training,Flex Trainer,M,1,7363.96,0.37,4639.2948,4639.2948,,Retail,Delhi,1415.98,1415.98,False,False,False,True,False,False,False
2006,Men,Training,SuperRep Go,M,3,6819.78,0.32,13912.3512,13912.3512,2025-06-04,Online,Bangalore,1802.09,1802.09,False,False,True,False,False,False,False
2007,Kids,Training,SuperRep Go,M,1,5280.57,0.32,3590.7875999999997,3590.7875999999997,,Retail,Bangalore,2928.36,2928.36,False,False,False,True,False,False,False
2008,Women,Soccer,Premier III,11,-1,5773.245,0.4,-3463.9469999999997,-3463.9469999999997,2024-10-11,Online,Hyderabad,-731.18,-731.18,True,False,False,False,False,False,False
2009,Men,Soccer,Mercurial Superfly,M,4,6569.65,0.425,15110.194999999998,15110.194999999998,,Online,Pune,3929.61,3929.61,False,False,False,True,False,False,False
2010,Kids,Lifestyle,Waffle One,L,1,7949.83,0.24,6041.8708,6041.8708,2025-01-16,Online,Pune,1965.56,1965.56,False,False,False,False,False,False,False
2011,Women,Training,Flex Trainer,L,-1,9586.08,0.37,-6039.2304,-6039.2304,,Retail,Hyderabad,1667.08,1667.08,True,False,False,True,False,False,False
2018,Kids,Lifestyle,Blazer Mid,XL,-1,6383.24,0.86,-893.6536000000001,-893.6536000000001,2024-11-13,Online,Delhi,2109.48,2109.48,True,False,False,False,False,False,True
2013,Kids,Training,SuperRep Go,M,3,9671.05,0.32,19728.941999999995,19728.941999999995,2024-09-19,Online,Hyderabad,299.34,299.34,False,False,True,False,False,False,False
2014,Women,Running,React Infinity,11,3,6492.155000000001,0.49,9932.997150000003,9932.997150000003,2025-04-12,Online,Bangalore,-1044.4,-1044.4,False,False,True,False,False,False,False
2015,Kids,Basketball,Air Jordan,XL,2,3285.52,0.24,4993.9904,4993.9904,2025-05-31,Retail,Kolkata,1193.21,1193.21,False,False,True,False,False,False,False
2016,Women,Basketball,Air Jordan,M,1,9871.75,0.3,6910.22,6910.22,,Retail,Hyderabad,2452.69,2452.69,False,False,False,True,False,False,False
2017,Women,Basketball,Air Jordan,9,4,6235.71,0.24,18956.5584,18956.5584,2025-03-17,Retail,Delhi,1946.24,1946.24,False,False,False,False,False,False,False
2018,Men,Training,Metcon 7,XL,0,5890.69,0.16999999999999993,0.0,0.0,,Online,Bangalore,-966.89,-966.89,False,True,False,True,False,False,False
2019,Kids,Running,Air Zoom,6,0,3424.06,0.32,0.0,0.0,2025-01-17,Online,Hyderabad,1915.24,1915.24,False,True,False,False,False,False,False
2020,Kids,Soccer,Tiempo Legend,L,-1,6045.785,0.67,-1995.1090499999998,-1995.1090499999998,2025-03-28,Retail,Mumbai,439.96,439.96,True,False,False,False,False,False,False
2021,Men,Running,Free RN,L,-1,7086.7,0.66,-2409.48,-2409.48,2024-11-19,Retail,Hyderabad,-1120.49,-1120.49,True,False,False,False,False,False,False
2022,Women,Soccer,Premier III,M,2,5773.245,0.4,6927.893999999999,6927.893999999999,2024-09-24,Online,Pune,3427.16,3427.16,False,False,True,False,False,False,False
2023,Men,Lifestyle,Waffle One,M,2,5003.95,0.24,7606.004,7606.004,2025-01-10,Online,Mumbai,1498.37,1498.37,False,False,True,False,False,False,False
2024,Kids,Training,SuperRep Go,XL,0,5280.57,0.5,0.0,0.0,2024-12-28,Retail,Bangalore,1842.35,1842.35,False,True,False,False,False,False,False
2025,Women,Basketball,Kyrie Flytrap,M,3,9820.5,0.46499999999999997,15761.9025,15761.9025,,Retail,Mumbai,1900.15,1900.15,False,False,False,True,False,False,False
2026,Kids,Lifestyle,Blazer Mid,XL,1,6383.24,0.16,5361.9216,5361.9216,2024-08-10,Retail,Kolkata,2301.64,2301.64,False,False,False,False,False,False,False
2027,Men,Basketball,Zoom Freak,XL,3,6435.66,0.22,15059.4444,15059.4444,,Online,Pune,-138.74,-138.74,False,False,True,True,False,False,False
2028,Men,Training,Flex Trainer,12,3,3270.23,0.37,6180.7347,6180.7347,,Retail,Delhi,-946.86,-946.86,False,False,True,True,False,False,False
2029,Men,Training,ZoomX Invincible,12,0,6897.68,0.385,0.0,0.0,2023-10-28,Online,Bangalore,-185.67,-185.67,False,True,False,False,False,False,False
2030,Men,Soccer,Phantom GT,XL,2,6320.59,0.050000000000000044,12009.121,12009.121,2025-07-14,Retail,Hyderabad,-122.93,-122.93,False,False,True,False,False,False,False
2031,Men,Soccer,Premier III,M,4,3493.04,0.82,2514.99,2514.99,2024-05-09,Online,Delhi,350.7,350.7,False,False,False,False,False,False,False
2032,Women,Lifestyle,Blazer Mid,XL,1,6383.24,0.07000000000000006,5936.413199999999,5936.413199999999,2025-04-11,Retail,Mumbai,-555.16,-555.16,False,False,False,False,False,False,False
2033,Men,Soccer,Mercurial Superfly,XL,-1,6569.65,0.425,-3777.5487499999995,-3777.5487499999995,,Retail,Kolkata,-1005.71,-1005.71,True,False,False,True,False,False,False
2034,Men,Basketball,Air Jordan,6,2,6235.71,0.24,9478.2792,9478.2792,2025-04-30,Retail,Delhi,-267.37,-267.37,False,False,True,False,False,False,False
2035,Kids,Basketball,Zoom Freak,M,4,6435.66,0.38,15960.4368,15960.4368,2024-11-17,Online,Bangalore,2914.83,2914.83,False,False,False,False,False,False,False
2036,Men,Training,Metcon 7,M,3,5890.69,0.39,10779.9627,10779.9627,2025-02-15,Retail,Bangalore,-143.8,-143.8,False,False,False,False,False,False,False
2037,Kids,Running,Pegasus Turbo,7,3,5653.14,0.010000000000000009,-169.59,-169.59,,Retail,Pune,2776.96,2776.96,False,False,False,True,False,False,True
2038,Kids,Running,Free RN,L,0,6293.58,0.83,0.0,0.0,,Online,Delhi,1163.21,1163.21,False,True,False,True,False,False,False
2039,Women,Training,Flex Trainer,M,3,2767.7,0.63,3072.1469999999995,3072.1469999999995,2025-04-22,Retail,Hyderabad,-336.3,-336.3,False,False,True,False,False,False,False
2002,Women,Basketball,Zoom Freak,XL,3,5075.22,0.35,9896.679,9896.679,2025-03-07,Retail,Delhi,145.08,145.08,False,False,False,False,False,False,False
2041,Kids,Soccer,Tiempo Legend,12,3,5553.88,0.24,12662.8464,12662.8464,2025-03-05,Online,Hyderabad,2371.66,2371.66,False,False,True,False,False,False,False
2042,Women,Basketball,Kyrie Flytrap,L,2,5066.14,0.46499999999999997,5420.769800000001,5420.769800000001,2025-04-19,Online,Hyderabad,-862.16,-862.16,False,False,True,False,False,False,False
2043,Men,Soccer,Premier III,XL,2,3492.89,0.77,1606.7293999999997,1606.7293999999997,2024-05-02,Retail,Delhi,3770.75,3770.75,False,False,True,False,False,False,True
2044,Kids,Training,SuperRep Go,M,3,5280.57,0.32,10772.362799999999,10772.362799999999,2023-09-06,Online,Delhi,2174.71,2174.71,False,False,True,False,False,False,False
2045,Kids,Lifestyle,Dunk Low,XL,4,6202.99,0.39,15135.2956,15135.2956,2025-04-06,Retail,Delhi,1833.94,1833.94,False,False,False,False,False,False,False
2046,Kids,Running,Air Zoom,12,2,5550.99,0.040000000000000036,10657.9008,10657.9008,,Online,Kolkata,1284.33,1284.33,False,False,True,True,False,False,False
2047,Women,Training,SuperRep Go,10,1,8577.75,0.32,5832.87,5832.87,2024-06-13,Retail,Bangalore,2888.68,2888.68,False,False,False,False,False,False,False
2048,Women,Basketball,Air Jordan,XL,2,6235.71,0.24,9478.2792,9478.2792,2024-10-27,Online,Bangalore,2875.86,2875.86,False,False,True,False,False,False,False
2049,Kids,Soccer,Tiempo Legend,L,1,7767.2,0.24,5903.072,5903.072,,Retail,Pune,311.48,311.48,False,False,False,True,False,False,False
2050,Men,Running,Air Zoom,L,1,5550.99,0.57,2386.9257000000002,2386.9257000000002,,Retail,Kolkata,682.12,682.12,False,False,False,True,False,False,False
2051,Women,Basketball,Air Jordan,XL,2,6235.71,0.37,7856.9946,7856.9946,2024-01-05,Retail,Delhi,3135.98,3135.98,False,False,True,False,False,False,False
2052,Men,Training,Flex Trainer,10,3,9155.96,0.37,17304.7644,17304.7644,2024-10-08,Retail,Pune,2184.8,2184.8,False,False,False,False,False,False,False
2053,Men,Lifestyle,Air Force 1,XL,3,6009.58,0.325,12169.3995,12169.3995,2024-10-02,Online,Delhi,3384.92,3384.92,False,False,False,False,False,False,False
2054,Women,Training,Flex Trainer,11,-1,6383.55,0.37,-4021.6365,-4021.6365,2025-06-23,Online,Mumbai,-549.76,-549.76,True,False,False,False,False,False,False
2055,Men,Basketball,Kyrie Flytrap,L,2,5066.14,0.46499999999999997,5420.769800000001,5420.769800000001,2024-10-26,Online,Hyderabad,-1078.76,-1078.76,False,False,True,False,False,False,False
2056,Men,Running,React Infinity,L,3,6492.155000000001,0.49,9932.997150000003,9932.997150000003,2024-05-31,Retail,Bangalore,-244.44,-244.44,False,False,False,False,False,False,False
2048,Men,Lifestyle,Waffle One,M,3,6216.29,0.94,1118.93,1118.93,2024-09-14,Online,Mumbai,-642.02,-642.02,False,False,False,False,False,False,False
2058,Women,Training,Flex Trainer,11,3,4985.92,0.37,9423.3888,9423.3888,,Online,Kolkata,361.54,361.54,False,False,True,True,False,False,False
2059,Kids,Soccer,Phantom GT,XL,-1,9507.54,0.38,-5894.674800000001,-5894.674800000001,2023-12-27,Retail,Delhi,291.28,291.28,True,False,False,False,False,False,False
